objid,objtype,u,g,r,i,z,redshift,redshift_err
1237651539257327759,GALAXY,17.50528,15.78281,14.96038,14.54534,14.22957,0.07210852,1.512536e-05
1237651539257327779,QSO,19.50112,19.27568,18.9623,19.02115,18.96503,1.165709,0.0003735318
1237651539257327924,GALAXY,19.42907,18.1331,17.55642,17.22269,17.10799,0.0733624,1.913865e-05
1237651539257393180,QSO,19.08358,19.01577,19.10207,18.93377,18.93608,1.851368,0.0005396698
1237651539257393228,GALAXY,18.2022,16.13273,15.20608,14.7829,14.46223,0.0726797,1.410141e-05
1237651539257393229,QSO,17.74078,16.58966,15.967,15.50832,15.47019,0.07359623,2.375424e-05
1237651539257393376,GALAXY,19.57355,18.06178,17.29844,16.89648,16.59796,0.07212448,1.731473e-05
1237651539257393384,GALAXY,18.57237,16.64484,15.71081,15.26126,14.91517,0.07340198,1.499743e-05
1237651539257393386,GALAXY,18.92026,17.00845,16.12779,15.72144,15.41348,0.07485411,1.621802e-05
1237651539257393399,GALAXY,18.08985,16.5359,15.79632,15.39176,15.09003,0.07427631,1.568302e-05
1237651539257393409,GALAXY,18.89985,17.01387,16.09957,15.65963,15.31935,0.07223083,1.358433e-05
1237651539257458790,STAR,16.46739,16.95975,17.5621,17.94377,18.33864,-3.881922e-05,3.942713e-05
1237651539257524431,GALAXY,19.44285,17.84046,16.94918,16.48495,16.19422,0.1123811,1.14636e-05
1237651539257524463,GALAXY,19.39967,17.52467,16.59445,16.18065,15.82872,0.07461224,1.723852e-05
1237651539257589827,STAR,19.22253,18.33905,18.0929,18.02664,18.03113,-0.0004923515,1.454746e-05
1237651539257589953,GALAXY,17.9301,15.97445,15.10037,14.66834,14.36356,0.07398777,1.505742e-05
1237651539257589954,GALAXY,18.66675,16.63098,15.71892,15.25431,14.93964,0.07249206,1.159153e-05
1237651539257589980,GALAXY,19.51076,18.01022,17.37262,16.96263,16.72049,0.07334263,9.18154e-06
1237651539257655447,GALAXY,18.93646,16.99215,16.1084,15.69671,15.38155,0.07487337,1.307653e-05
1237651539257721023,STAR,19.37667,18.31034,17.88484,17.72537,17.67387,-0.001049469,1.830939e-05
1237651539257852057,STAR,19.31515,19.29281,19.70323,20.04605,20.21079,-0.0001577116,9.092264e-05
1237651539257917454,STAR,18.70962,17.77972,17.50558,17.3988,17.38995,-0.000628109,1.067605e-05
1237651539257917517,QSO,19.20731,19.17361,19.26373,19.02796,19.0041,1.82821,0.0003876738
1237651539257917631,GALAXY,18.19013,16.56149,15.76002,15.31771,14.99886,0.07523589,8.205401e-06
1237651539257982989,STAR,17.5352,16.6366,16.27054,16.11258,16.09907,-0.000780163,9.482123e-06
1237651539258048600,STAR,18.64464,17.68807,17.38207,17.2666,17.27291,-0.0008808038,1.011752e-05
1237651539258114248,GALAXY,18.40706,17.19586,16.79559,16.51173,16.36745,0.04478886,8.518108e-06
1237651539258114273,GALAXY,19.28338,17.66604,16.9832,16.58999,16.30947,0.1076404,2.918491e-05
1237651249895637133,GALAXY,19.59993,17.6269,16.54806,16.04004,15.64726,0.1266335,2.747787e-05
1237651249895833604,GALAXY,18.54203,17.62035,17.25268,17.05894,16.91735,0.02904771,4.892446e-06
1237651249895899260,GALAXY,19.15336,17.89115,17.16629,16.74131,16.46289,0.1394977,1.264449e-05
1237651249895964818,STAR,17.28403,16.39979,16.15954,16.07277,16.08828,-0.0004531994,1.04152e-05
1237651249895964873,GALAXY,18.67776,17.62306,17.13991,16.86132,16.67213,0.03147199,9.715012e-06
1237651249895964893,GALAXY,18.76756,17.62729,17.20649,16.95196,16.82881,0.05187409,6.874865e-06
1237651249896095765,GALAXY,16.83023,15.60508,15.00431,14.64464,14.42673,0.0390688,6.741974e-06
1237651249896095841,QSO,19.48894,19.16789,19.0596,19.2074,19.00397,0.7792144,0.0001333375
1237651249896095933,GALAXY,18.93248,18.16337,18.07804,17.88756,17.86961,0.03919102,6.531546e-06
1237651249896095936,GALAXY,18.67478,17.76825,17.3596,17.1514,17.0863,0.0387006,6.197376e-06
1237651249896161387,STAR,17.63765,17.69445,17.95368,18.15823,18.40048,-0.0001226253,3.851836e-05
1237651249896161413,QSO,19.4145,19.13415,19.00573,18.86271,18.93725,1.625801,0.0003572625
1237651249896161415,GALAXY,19.1667,17.98967,17.49958,17.17969,17.01472,0.04378717,1.550078e-05
1237651249896226839,QSO,18.8325,18.68017,18.83921,18.70247,18.43746,0.4212608,4.221025e-05
1237651249896226984,GALAXY,19.43329,17.55603,16.59515,16.20336,15.9188,0.1362836,1.773725e-05
1237651249896292505,GALAXY,18.8013,17.89655,17.59647,17.41639,17.30436,0.02880637,4.892072e-06
1237651249896423514,GALAXY,19.27915,17.66129,17.01848,16.6087,16.37352,0.06818122,9.290645e-06
1237651249896423530,GALAXY,18.77475,16.85591,15.95287,15.52487,15.19415,0.06800187,1.815726e-05
1237651249896423559,GALAXY,18.45798,17.11468,16.49311,16.13035,15.91512,0.06869446,1.004626e-05
1237651249896423563,GALAXY,18.33965,17.12983,16.71395,16.4326,16.28202,0.06063185,1.092327e-05
1237651249896423604,GALAXY,18.75864,17.5615,16.89196,16.54225,16.32649,0.1360481,1.517499e-05
1237651249896488968,QSO,18.67635,18.47526,18.41507,18.52318,18.41747,0.8753185,0.0002871463
1237651249896554560,GALAXY,19.05288,17.2037,16.35608,15.97779,15.67986,0.0682481,1.728418e-05
1237651249896620162,STAR,17.08262,16.03759,15.94508,15.93834,16.01385,-0.0003458914,8.592017e-06
1237651249896685684,GALAXY,18.12577,16.92716,16.23581,15.7549,15.51118,0.1123694,1.736885e-05
1237651249896685754,GALAXY,19.10321,17.73715,17.04431,16.56498,16.32795,0.1383354,7.816934e-06
1237651249896751276,STAR,17.90871,16.82838,16.47491,16.33815,16.33053,-0.0004750079,1.009798e-05
1237651249896751294,GALAXY,19.15773,17.83336,17.03958,16.58732,16.33585,0.1125023,1.194189e-05
1237651249896816740,STAR,19.36378,18.45442,18.19297,18.12387,18.09362,-0.001048868,3.009017e-05
1237651249896882287,GALAXY,19.00988,18.05642,17.74201,17.51742,17.45239,0.104659,5.137344e-06
1237651249898192916,GALAXY,18.56611,17.11283,16.17342,15.79337,15.51015,0.0448647,2.00775e-05
1237651249898193000,STAR,19.00164,19.25675,19.75322,20.09508,20.36242,-8.836047e-05,0.0002364685
1237651249898193106,STAR,19.57964,18.28597,18.39668,18.48328,18.60965,-2.768836e-05,2.396248e-05
1237651249898258598,STAR,17.95056,16.44366,15.87704,15.71196,15.63457,-0.0003352172,7.845701e-06
1237651249898324059,GALAXY,18.09666,16.96565,16.60458,16.36959,16.2686,0.05110275,6.532554e-06
1237651249898324067,GALAXY,17.97841,17.06215,16.87197,16.65243,16.58991,0.05114689,4.848904e-06
1237651249898717393,QSO,19.57265,19.54797,19.25064,19.17475,19.18641,1.167962,0.0002892489
1237651249898848341,STAR,17.4553,16.49194,16.19929,16.07782,16.06431,-7.536502e-05,9.164781e-06
1237651249898848364,QSO,18.07624,17.71822,17.45651,17.17359,17.13292,1.527622,0.0001818882
1237651249898848456,GALAXY,19.25192,17.88955,17.1177,16.67441,16.41711,0.09975454,9.366004e-06
1237651249898913850,QSO,19.32278,18.96279,18.78133,18.51135,18.3684,1.943026,0.0003603805
1237651249898913856,QSO,18.94774,18.9577,19.0341,18.79617,18.91913,1.84143,0.0002450763
1237651249898914060,GALAXY,18.27395,17.19942,16.6444,16.30369,16.08701,0.1019147,1.070474e-05
1237651249899044917,STAR,17.95184,16.96266,16.63291,16.51337,16.4821,-8.907521e-05,9.812959e-06
1237651249899044975,STAR,18.46208,17.53076,17.26057,17.13873,17.11101,-0.0004268134,1.27891e-05
1237651249899045045,GALAXY,18.99804,17.97416,17.41067,17.10592,16.93533,0.1418655,1.095893e-05
1237651249899110455,STAR,18.72782,17.78948,17.48572,17.36891,17.36077,-0.0004379392,1.310132e-05
1237651249899110459,GALAXY,17.50696,15.71635,14.92148,14.53599,14.21592,0.02937492,8.873752e-06
1237651249899176030,GALAXY,18.96607,17.85246,17.50434,17.33527,17.2437,0.02964792,5.845929e-06
1237651249899241714,GALAXY,19.18243,17.12417,16.12116,15.67243,15.31805,0.1023913,2.011263e-05
1237651249899241730,GALAXY,18.30742,17.22814,16.77905,16.46843,16.27071,0.05391185,1.096449e-05
1237651249899372561,STAR,18.45082,17.23424,17.27698,17.33536,17.3666,7.473709e-05,1.232055e-05
1237651249899372609,QSO,19.10324,18.89733,18.88699,18.69682,18.74034,1.770661,0.0005024619
1237651249899372702,GALAXY,19.43877,18.20187,17.4329,17.04374,16.74532,0.1416917,2.112493e-05
1237651249899372739,GALAXY,18.67427,17.46011,16.95085,16.65353,16.45814,0.0400947,7.22967e-06
1237651249899438274,GALAXY,19.10052,18.02692,17.54158,17.19643,17.02563,0.07307944,6.509639e-06
1237651249899438281,GALAXY,18.48115,17.24531,16.62014,16.24159,15.99814,0.07467161,1.124165e-05
1237651249899438304,GALAXY,17.40987,15.45598,14.52525,14.03686,13.53048,0.03992675,1.467898e-05
1237651249899438318,GALAXY,19.01724,17.70118,17.12077,16.82294,16.64352,0.04002654,2.547086e-05
1237651249899438341,GALAXY,18.3325,16.9848,16.31461,15.90818,15.62746,0.07388034,9.864732e-06
1237651249899503696,GALAXY,18.56211,17.30988,16.61252,16.23368,15.99967,0.1024786,9.594503e-06
1237651249899569258,QSO,19.3761,19.06349,19.03635,18.75517,18.78992,1.71559,0.0007047301
1237651249899634840,QSO,18.79286,18.5864,18.53848,18.30044,18.32012,1.61958,0.0004430172
1237651249899634907,GALAXY,19.22652,18.03013,17.58004,17.37525,17.2114,0.02486036,9.845556e-06
1237651249899634909,GALAXY,19.10806,18.03359,17.63049,17.36724,17.32716,0.07396053,5.7188e-06
1237651249899700408,STAR,19.53624,18.36296,17.88269,17.71386,17.62416,-0.0006213206,1.400135e-05
1237651249899765779,QSO,18.46138,18.37928,18.32991,18.05926,18.10491,1.79915,0.0005214775
1237651249899765928,STAR,18.61835,18.58711,18.9741,19.29531,19.2363,3.922395e-05,4.019566e-05
1237651249899766015,GALAXY,19.52486,17.59649,16.72332,16.32656,16.02001,0.0544006,1.783046e-05
1237651249899831454,GALAXY,19.35835,18.06866,17.67184,17.43767,17.30512,0.07166444,6.903836e-06
1237651249899896863,STAR,18.3368,17.46263,17.18581,17.08938,17.06233,-0.0009645013,1.286523e-05
1237651249899962409,STAR,19.20185,17.90119,17.39572,17.20572,17.13727,-0.0003327489,9.75039e-06
1237651249899962509,GALAXY,19.1408,18.14247,17.74349,17.41579,17.35402,0.07280279,5.70723e-06
1237651249899962532,GALAXY,18.76715,17.89116,17.65529,17.39874,17.33252,0.07302476,6.197035e-06
1237651249900028081,GALAXY,17.68732,16.19348,15.50889,15.28677,15.202,-0.000322971,1.024848e-05
1237651249900028083,QSO,18.00524,17.98046,17.90072,17.95469,17.56074,0.2909023,4.763094e-05
1237651249900093486,STAR,17.39104,16.30645,16.31827,16.37843,16.46045,-0.000856206,5.524751e-06
1237651249900159125,STAR,19.50843,17.20799,16.28925,15.9796,15.83768,-4.34422e-05,6.762729e-06
1237651249900224545,QSO,19.48563,18.91687,18.51351,18.36807,18.13153,0.8630319,9.168776e-05
1237651249900290116,STAR,19.10402,18.20344,17.89642,17.75883,17.75262,-0.0006751334,1.38456e-05
1237651249900290185,GALAXY,17.84961,16.3127,15.53696,15.06027,14.83734,0.1038621,8.645e-06
1237651249900290205,GALAXY,19.22276,18.1912,17.77439,17.5403,17.39111,0.06510649,7.890243e-06
1237651249900290240,GALAXY,19.48975,17.60596,16.6602,16.23189,15.89592,0.08536293,2.50317e-05
1237651249900421138,STAR,18.6627,17.21549,16.6074,16.34859,16.23227,-0.0009608933,8.937624e-06
1237651249900421330,STAR,19.56166,18.20033,17.64265,17.44515,17.34956,-9.998308e-05,1.025607e-05
1237651249900552311,GALAXY,18.23374,17.27874,16.86898,16.56926,16.50233,0.07860678,7.39891e-06
1237651249900552340,GALAXY,19.03802,17.96635,17.53267,17.25783,17.09985,0.0700915,9.353677e-06
